species_name
Dermochelys coriacea
Terrapene carolina
Varanus salvator
Scincus scincus
Bitis arietans
Testudo graeca
Chelonoidis nigra
Pogona vitticeps
Heloderma suspectum
Lampropeltis getula
Pantherophis guttatus
Thamnophis sirtalis
Caiman crocodilus
Anolis carolinensis
Aspidelaps lubricus
Ambystoma mexicanum
Lithobates catesbeianus
Dendrobates tinctorius
Salamandra salamandra
Triturus cristatus
Rhinella marina
Hyalinobatrachium fleischmanni
Necturus maculosus
Ichthyophis glutinosus
Xenopus laevis
Bombina bombina
Bufo bufo
Rana temporaria
Litoria caerulea
Andrias japonicus
Proteus anguinus
Plethodon cinereus
Notophthalmus viridescens
Alytes obstetricans
Ceratophrys ornata
Amphiprion ocellaris
Carassius auratus
Cyprinus carpio
Salmo salar
Oncorhynchus mykiss
Thunnus albacares
Xiphias gladius
Makaira nigricans
Carcharodon carcharias
Sphyrna mokarran
Rhincodon typus
Mobula birostris
Dasyatis pastinaca
Anguilla anguilla
Hippocampus kuda
Tetraodon nigroviridis
Ictalurus punctatus
Oreochromis niloticus
Pygocentrus nattereri
Gadus morhua
Esox lucius
Scomber scombrus
Lates calcarifer
Labrus bergylta
Sardinops sagax
Clupea harengus
Danio rerio
Poecilia reticulata
Betta splendens
Electrophorus electricus
Danaus plexippus
Papilio machaon
Anax imperator
Ischnura elegans
Apis mellifera
Bombus terrestris
Formica rufa
Coptotermes formosanus
Coccinella septempunctata
Lampyris noctiluca
Schistocerca gregaria
Acheta domesticus
Tenodera sinensis
Carausius morosus
Dynastes hercules
Scarabaeus sacer
Aedes aegypti
Musca domestica
Bombyx mori
Attacus atlas
Latrodectus mactans
Lycosa tarantula
Pandinus imperator
Ixodes ricinus
Tetranychus urticae
Araneus diadematus
Phidippus audax
Opilio canestrinii
Galeodes arabs
Grammostola rosea
Octopus vulgaris
Loligo vulgaris
Sepia officinalis
Nautilus pompilius
Tridacna gigas
Ostrea edulis
Mytilus edulis
Helix pomatia
Limax maximus
Haliotis rufescens
Callinectes sapidus
Homarus americanus
Penaeus monodon
Euphausia superba
Semibalanus balanoides
Pagurus bernhardus
Procambarus clarkii
Macrobrachium rosenbergii
Paralithodes camtschaticus
Cyclops vicinus
Quercus robur
Acer saccharum
Pinus sylvestris
Picea abies
Abies alba
Cedrus libani
Betula pendula
Salix babylonica
Ficus benghalensis
Ficus religiosa
Azadirachta indica
Mangifera indica
Cocos nucifera
Musa acuminata
Carica papaya
Bambusa vulgaris
Rosa chinensis
Helianthus annuus
Nelumbo nucifera
Tulipa gesneriana
Phalaenopsis amabilis
Lavandula angustifolia
Jasminum officinale
Lilium candidum
Tagetes erecta
Aloe vera
Carnegiea gigantea
Pteridium aquilinum
Sphagnum palustre
Adansonia digitata
Agaricus bisporus
Lentinula edodes
Pleurotus ostreatus
Morchella esculenta
Tuber melanosporum
Amanita muscaria
Saccharomyces cerevisiae
Penicillium chrysogenum
Aspergillus niger
Cantharellus cibarius
Acacia senegal
Eucalyptus globulus
Solanum lycopersicum
Quercus robur
Pinus sylvestris
Canis lupus
Felis catus
Panthera leo
Rana temporaria
Bufo bufo
Apis mellifera
Papilio machaon
Crocodylus niloticus
Varanus komodoensis
Salmo salar
Cyprinus carpio
Amanita muscaria
Rosa canina
Ficus carica
Acer saccharum
Acacia nilotica
Eucalyptus camaldulensis
Solanum tuberosum
Quercus alba
Pinus nigra
Canis latrans
Felis silvestris
Panthera tigris
Rana arvalis
Bufo spinosus
Apis cerana
Papilio polyxenes
Crocodylus porosus
Varanus salvator
Salmo trutta
Cyprinus rubrofuscus
Amanita phalloides
Rosa rubiginosa
Ficus benjamina
Acer rubrum
Acacia dealbata
Eucalyptus marginata
Solanum melongena
Quercus rubra
Pinus strobus
Canis aureus
Felis chaus
Panthera pardus
Rana dalmatina
Bufo japonicus
Apis dorsata
Papilio rutulus
Crocodylus acutus
Varanus niloticus
Salmo marmoratus
Cyprinus pellegrini
Amanita virosa
Rosa rugosa
Ficus elastica
Acer platanoides
Acacia mearnsii
Eucalyptus diversicolor
Solanum nigrum
Quercus ilex
Pinus ponderosa
Canis simensis
Felis margarita
Panthera onca
Rana sylvatica
Bufo gargarizans
Apis florea
Papilio glaucus
Crocodylus rhombifer
Varanus gouldii
Salmo obtusirostris
Cyprinus yilongensis
Amanita pantherina
Rosa gallica
Ficus microcarpa
Acer pseudoplatanus
Acacia pycnantha
Eucalyptus saligna
Solanum dulcamara
Quercus suber
Pinus radiata
Canis anthus
Felis nigripes
Panthera uncia
Rana pipiens
Bufo calamita
Apis andreniformis
Papilio troilus
Crocodylus moreletii
Varanus exanthematicus
Salmo letnica
Cyprinus micristius
Amanita rubescens
Rosa damascena
Ficus religiosa
Acer palmatum
Acacia melanoxylon
Eucalyptus regnans
Solanum carolinense
Quercus cerris
Pinus taeda
Canis mesomelas
Felis bieti
Panthera spelaea
Rana luteiventris
Bufo viridis
Apis koschevnikovi
Papilio cresphontes
Crocodylus intermedius
Varanus albigularis
Salmo ohridanus
Cyprinus qionghaiensis
Amanita caesarea
Rosa alba
Ficus benghalensis
Acer campestre
Acacia saligna
Eucalyptus grandis
Solanum pseudocapsicum
Quercus coccinea
Pinus contorta
Canis adustus
Felis lybica
Panthera atrox
Rana draytonii
Bufo marinus
Apis nigrocincta
Papilio zelicaon
Crocodylus johnstoni
Varanus bengalensis
Salmo carpio
Cyprinus acutidorsalis
Amanita verna
Rosa centifolia
Ficus sycomorus
Acer negundo
Acacia confusa
Eucalyptus obliqua
Solanum aviculare
Quercus macrocarpa
Pinus halepensis
Canis dirus
Felis manul
Panthera blytheae
Rana cascadae
Bufo americanus
Apis nuluensis
Papilio canadensis
Crocodylus mindorensis
Varanus panoptes
Salmo fibreni
Cyprinus biondi
Amanita citrina
Rosa moschata
Ficus racemosa
Acer saccharinum
Acacia tortilis
Eucalyptus viminalis
Solanum mammosum
Quercus petraea
Pinus pinea
Canis rufus
Felis rufus
Panthera zdanskyi
Rana aurora
Bufo woodhousii
Apis binghami
Papilio multicaudata
Crocodylus novaeguineae
Varanus rosenbergi
Salmo pelagonicus
Cyprinus chilia
Amanita gemmata
Rosa sempervirens
Ficus pumila
Acer japonicum
Acacia mangium
Eucalyptus delegatensis
Solanum muricatum
Quercus palustris
Pinus banksiana
Canis lycaon
Felis concolor
Panthera gombaszoegensis
Rana boylii
Bufo cognatus
Apis breviligula
Papilio eurymedon
Crocodylus palustris
Varanus priscus
Salmo peristericus
Cyprinus dai
Amanita porphyria
Rosa banksiae
Ficus lyrata
Acer circinatum
Acacia koa
Eucalyptus citriodora
Solanum quitoense
Quercus virginiana
Pinus resinosa
Canis dingo
Felis pardalis
Panthera youngi
Rana pretiosa
Bufo boreas
Apis laboriosa
Papilio indra
Crocodylus siamensis
Varanus varius
Salmo platycephalus
Cyprinus daliensis
Amanita excelsa
Rosa laevigata
Ficus macrophylla
Acer macrophyllum
Acacia farnesiana
Eucalyptus robusta
Solanum elaeagnifolium
Quercus agrifolia
Pinus edulis
Canis familiaris
Felis serval
Panthera palaeosinensis
Rana catesbeiana
Bufo alvarius
